;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes_2017;acidentes_2018;acidentes_2019;acidentes_2020;acidentes_2021;acidentes_2022;acidentes_2023;acidentes_2024
23805;2024-07-08;SP;PROMISSAO;153;146,9;-21,38147297;2024-07-08;0;0;0;0;0;0;0;1
23806;2024-07-08;PB;SOUSA;230;472;-6,7994;2024-07-08;0;0;0;0;0;0;0;3
23807;2024-07-08;RO;PORTO VELHO;319;34;-8,0846424;2024-07-08;0;0;0;0;0;0;0;6
23808;2024-07-08;MT;LUCAS DO RIO VERDE;163;667;-13,24579447;2024-07-08;0;0;0;0;0;0;0;1
23809;2024-07-08;BA;CORRENTINA;349;1056;-13,798034;2024-07-08;0;0;0;0;0;0;0;1
23810;2024-07-09;SC;INDAIAL;470;64,8;-26,86976005;2024-07-09;0;0;0;0;0;0;0;1
23811;2024-07-08;BA;JUAZEIRO;407;28;-9,633835;2024-07-08;0;0;0;0;0;0;0;1
23812;2024-07-09;BA;RIACHAO DAS NEVES;135;132;-11,79072277;2024-07-09;0;0;0;0;0;0;0;5
23813;2024-07-09;MG;BETIM;381;498;-19,99503693;2024-07-09;0;0;0;0;0;0;0;3
23814;2024-07-09;PI;VALENCA DO PIAUI;316;177,8;-6,22931055;2024-07-09;0;0;0;0;0;0;0;4
23815;2024-07-09;PE;ARCOVERDE;232;254,1;-8,41875994;2024-07-09;0;0;0;0;0;0;0;1
23816;2024-07-09;SC;JOINVILLE;101;41;-26,31781248;2024-07-09;0;0;0;0;0;0;0;1
23817;2024-07-09;GO;ANAPOLIS;153;96,7;-16,373763;2024-07-09;0;0;0;0;0;0;0;1
23818;2024-07-09;PB;JOAO PESSOA;230;17;-7,11833138;2024-07-09;0;0;0;0;0;0;0;4
23819;2024-07-09;SC;CHAPECO;480;127,3;-27,03462555;2024-07-09;0;0;0;0;0;0;0;3
23820;2024-07-09;RN;MOSSORO;405;18,5;-5,22576093;2024-07-09;0;0;0;0;0;0;0;3
23821;2024-07-09;RS;SARANDI;386;131,9;-27,94019;2024-07-09;0;0;0;0;0;0;0;2
23822;2024-07-09;PE;SAO LOURENCO DA MATA;408;102,9;-8,057277;2024-07-09;0;0;0;0;0;0;0;3
23823;2024-07-09;MG;CAMANDUCAIA;381;924,5;-22,77048345;2024-07-09;0;0;0;0;0;0;0;6
23824;2024-07-09;GO;LUZIANIA;40;22,1;-16,232448;2024-07-09;0;0;0;0;0;0;0;3
23825;2024-07-09;SC;SANTA CECILIA;116;115;-26,80262399;2024-07-09;0;0;0;0;0;0;0;1
23826;2024-07-09;PR;CAMPINA GRANDE DO SUL;116;26;-25,10683694;2024-07-09;0;0;0;0;0;0;0;3
23827;2024-07-09;PR;CASCAVEL;277;560,3;-25,0662028;2024-07-09;0;0;0;0;0;0;0;1
23828;2024-07-09;SC;GASPAR;470;45;-26,86602749;2024-07-09;0;0;0;0;0;0;0;2
23829;2024-07-09;RO;PORTO VELHO;319;59;-8,74260755;2024-07-09;0;0;0;0;0;0;0;2
23830;2024-07-09;PR;IMBAU;376;489,5;-24,472401;2024-07-09;0;0;0;0;0;0;0;1
23831;2024-06-29;PR;IBIPORA;369;140,5;-23,280558;2024-06-29;0;0;0;0;0;0;0;2
23832;2024-07-09;MG;ALEM PARAIBA;116;796;-21,727808;2024-07-09;0;0;0;0;0;0;0;3
23833;2024-07-09;SC;SAO MIGUEL DO OESTE;163;71;-26,72868909;2024-07-09;0;0;0;0;0;0;0;2
23834;2024-07-09;GO;VILA BOA;20;83,6;-15,071345;2024-07-09;0;0;0;0;0;0;0;3
23835;2024-07-09;RJ;BARRA DO PIRAI;393;277;-22,47536494;2024-07-09;0;0;0;0;0;0;0;2
23836;2024-06-09;MT;CACERES;70;704;-16,25330393;2024-06-09;0;0;0;0;0;0;0;6
23837;2024-07-09;RS;URUGUAIANA;472;577;-29,7801717;2024-07-09;0;0;0;0;0;0;0;2
23838;2024-07-09;SP;JUQUITIBA;116;331;-23,95129388;2024-07-09;0;0;0;0;0;0;0;4
23839;2024-07-09;PR;CAMPO LARGO;277;104;-25,43425;2024-07-09;0;0;0;0;0;0;0;2
23840;2024-07-09;PR;CAMPINA GRANDE DO SUL;116;33;-25,1068163;2024-07-09;0;0;0;0;0;0;0;3
23841;2024-07-09;RO;VILHENA;364;12;-12,7429119;2024-07-09;0;0;0;0;0;0;0;2
23842;2024-06-27;ES;JOAO NEIVA;259;19,9;-19,66055731;2024-06-27;0;0;0;0;0;0;0;3
23843;2024-07-09;RS;PELOTAS;0;0;-31,61302;2024-07-09;0;0;0;0;0;0;0;2
23844;2024-07-09;SC;CORDILHEIRA ALTA;282;533,2;-26,99488924;2024-07-09;0;0;0;0;0;0;0;2
23845;2024-07-09;PR;MARINGA;376;171,8;-23,414673;2024-07-09;0;0;0;0;0;0;0;2
23846;2024-07-01;BA;FEIRA DE SANTANA;324;513;-12,2315519;2024-07-01;0;0;0;0;0;0;0;2
23847;2024-07-09;RS;SAO BORJA;285;672;-28,67285469;2024-07-09;0;0;0;0;0;0;0;2
23848;2024-07-09;SP;JACUPIRANGA;116;474;-24,68015127;2024-07-09;0;0;0;0;0;0;0;1
23849;2024-07-09;BA;CARAVELAS;418;63;-17,80486798;2024-07-09;0;0;0;0;0;0;0;1
23850;2024-07-09;MS;RIO VERDE DE MATO GROSSO;163;705;-18,71316498;2024-07-09;0;0;0;0;0;0;0;2
23851;2024-07-09;RJ;TANGUA;101;271,8;-22,729063;2024-07-09;0;0;0;0;0;0;0;1
23852;2024-07-09;PR;FAZENDA RIO GRANDE;116;126;-25,63701615;2024-07-09;0;0;0;0;0;0;0;2
23853;2024-07-07;SC;NOVA ITABERABA;282;556,3;-26,932056;2024-07-07;0;0;0;0;0;0;0;4
23854;2024-07-09;BA;JUAZEIRO;235;348,1;-9,43968335;2024-07-09;0;0;0;0;0;0;0;3
23855;2024-07-09;PB;CABEDELO;230;6;-7,02;2024-07-09;0;0;0;0;0;0;0;2
23856;2024-07-09;RJ;DUQUE DE CAXIAS;493;57;-22,669386;2024-07-09;0;0;0;0;0;0;0;1
23857;2024-07-09;RJ;DUQUE DE CAXIAS;40;118;-22,76005619;2024-07-09;0;0;0;0;0;0;0;1
23858;2024-07-09;PR;GUARATUBA;376;678;-25,94235196;2024-07-09;0;0;0;0;0;0;0;1
23859;2024-07-09;MS;CAMPO GRANDE;60;383;-20,6525888;2024-07-09;0;0;0;0;0;0;0;1
23860;2024-07-09;MG;ESTIVA;381;873,8;-22,4201618;2024-07-09;0;0;0;0;0;0;0;3
23861;2024-07-09;PE;JOAQUIM NABUCO;101;176,3;-8,60776887;2024-07-09;0;0;0;0;0;0;0;1
