,br,qtd,ano
226,70,2050,2012
227,70,3060,2013
228,70,3246,2014
229,70,2779,2015
230,70,2784,2016
231,70,3247,2017
232,70,2768,2018
233,70,2652,2019
234,70,2523,2020
235,70,2609,2021
236,70,2514,2022
237,70,2625,2023
238,60,1892,2007
239,60,2630,2008
240,60,4756,2009
241,60,5266,2010
242,60,4987,2011
243,60,3207,2012
244,60,5514,2013
245,60,5060,2014
246,60,4296,2015
247,60,3900,2016
248,60,3805,2017
249,60,2752,2018
250,60,2618,2019
251,60,2536,2020
252,60,2513,2021
253,60,2221,2022
254,60,2429,2023
255,20,1351,2007
256,20,1945,2008
257,20,3316,2009
258,20,3913,2010
259,20,3857,2011
260,20,2743,2012
261,20,4415,2013
262,20,4429,2014
263,20,3295,2015
264,20,3033,2016
265,20,2979,2017
266,20,2513,2018
267,20,2583,2019
268,20,2575,2020
269,20,2500,2021
270,20,2248,2022
271,20,2280,2023
272,158,1001,2007
273,158,1433,2008
274,158,2832,2009
275,158,3672,2010
276,158,3901,2011
277,158,2751,2012
278,158,4116,2013
279,158,3501,2014
280,158,2730,2015
281,158,2387,2016
282,158,2744,2017
283,158,2057,2018
284,158,1937,2019
285,158,1745,2020
286,158,1931,2021
287,158,1912,2022
288,158,2262,2023
289,369,2597,2009
290,369,5080,2010
291,369,5569,2011
292,369,3438,2012
293,369,4868,2013
294,369,4387,2014
295,369,3080,2015
296,369,2801,2016
297,369,2237,2017
298,369,1833,2018
299,369,2129,2019
300,369,1705,2020
301,369,1915,2021
302,369,2010,2022
303,369,2256,2023
304,50,1094,2007
305,50,1468,2008
306,50,2432,2009
307,50,2920,2010
308,50,3176,2011
309,50,2233,2012
310,50,3656,2013
311,50,2970,2014
312,50,2476,2015
313,50,2153,2016
314,50,2004,2017
315,50,1916,2018
316,50,1666,2019
317,50,1803,2020
318,50,1949,2021
319,50,2156,2022
320,50,2252,2023
