;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
30761;2021-10-31;SP;TABOAO DA SERRA;116;271;-23.60970376;-46.77153653;1
30762;2021-10-31;PR;IMBITUVA;153;313;-25.31468434;-50.63337117;2
30763;2021-10-31;MG;IGARAPE;381;515,9;-20.11094229;-44.32385296;4
30764;2021-10-31;GO;GOIANIA;153;501,3;-16.72403039;-49.24006375;2
30765;2021-05-02;RN;MACAIBA;304;293,6;-5.86862212;-35.38031839;2
30766;2021-10-31;PE;GRAVATA;232;82,6;-8.20155096;-35.59205532;1
30767;2021-10-31;CE;BARRO;116;440;-7.02896824;-38.76872562;1
30768;2021-09-17;RJ;NOVA IGUACU;465;16;-22.82822642;-43.61697458;4
30769;2021-10-31;PB;PATOS;230;350;-6.9504;-37.3885;4
30770;2021-10-31;RN;CAICO;427;103,8;-6.44870581;-37.13660002;3
30771;2021-10-31;SC;JOACABA;282;399,9;-27.139378;-51.621956;1
30772;2021-10-31;RS;ITAARA;158;316,6;-29.65561213;-53.77369881;1
30773;2021-10-31;PR;BALSA NOVA;277;142;-25.4654446;-49.75069106;2
30774;2021-10-31;MG;NOVA LIMA;40;553;-20.07742034;-43.9825201;2
30775;2021-10-31;RJ;DUQUE DE CAXIAS;40;124;-22.81104965;-43.28831435;2
30776;2021-10-31;SC;LAGES;282;219,8;-27.795521;-50.323608;2
30777;2021-10-31;MT;RONDONOPOLIS;364;226,8;-16.29869398;-54.76073095;1
30778;2021-10-31;PB;CABEDELO;230;15;-7.10199991;-34.84749556;1
30779;2021-10-31;PR;FOZ DO IGUACU;277;727,8;-25.50967898;-54.5721817;1
30780;2021-10-31;MG;CRISTIANO OTONI;40;656,4;-20.879724;-43.800623;1
30781;2021-10-31;RS;GARIBALDI;470;228,8;-29.26905635;-51.49904788;2
30782;2021-10-31;SP;CAJATI;116;505;-24.79633824;-48.2145524;2
30783;2021-10-31;PR;IBEMA;277;533;-25.10263134;-52.98760772;3
30784;2021-10-31;MS;DOURADOS;163;258,6;-22.25647727;-54.77937162;2
30785;2021-10-31;PR;MORRETES;277;34;-25.57124648;-48.81843567;2
30786;2021-10-31;PR;LARANJEIRAS DO SUL;277;456;-25.385905;-52.413842;2
30787;2021-10-31;MT;SINOP;163;851;-11.71728312;-55.45774352;3
30788;2021-10-31;PI;FLORIANO;343;577,6;-6.793288;-42.9221;1
30789;2021-10-31;RJ;ITAPERUNA;356;65;-21.34906796;-41.7137759;2
